popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
64,0.694,0.61,217400,0.59,2.32E-06,0.15,-7.325,0.0362,137.838,0.352,
31,0.739,0.565,260467,0.393,0.000845,0.143,-9.309,0.0244,75.537,0.229,Anime
57,0.00879,0.433,262867,0.815,0,0.138,-3.658,,125.358,0.461,Rock
63,0.0105,0.359,563893,0.762,0.281,0.368,-8.323,0.032,89.259,0.167,Rock
,0.301,0.511,,0.699,,0.0884,,0.037,120.4064967,0.496,Anime
65,,0.491,-1,,2.78E-06,0.626,-6.564,0.0281,112.704,0.407,Rock
44,0.71,0.627,,0.496,,0.343,-11.866,0.0396,95,0.0801,Electronic
48,,0.54,349980,,0.0468,0.599,,0.0355,86.054,0.243,Jazz
67,0.000531,0.502,,0.685,,0.0923,-5.847,0.0283,81.978,0.574,Rock
52,,0.835,170658,,0,0.304,-4.052,0.247,122.019,0.833,Rap
58,0.0844,0.593,-1,0.837,0,0.148,-4.834,0.0302,99.947,0.569,Rock
38,0.11,0.418,318178,0.652,0.535,0.354,-11.112,0.0748,80.451,0.607,Jazz
57,0.786,0.127,288733,0.335,0.427,0.111,-8.298,0.0329,77.078,0.0686,Alternative
53,0.0157,0.663,212613,0.777,0.00829,0.0755,-5.496,0.0375,143.003,0.94,Rock
28,0.082,,210707,0.948,0.0117,0.968,-4.517,0.101,161.473,,Blues
50,0.0506,0.663,125747,0.738,0,0.0894,-6.958,0.4,184.078,0.544,Rap
56,,0.705,273810,,0,0.176,-6.397,0.396,71.666,0.35,Rap
74,0.311,0.644,,0.501,,,-8.959,0.492,,0.173,Rap
54,0.00535,0.413,231368,0.885,1.97E-06,0.166,-7.695,0.0777,113.807,0.211,Alternative
52,0.0249,0.494,,0.836,,,-4.327,,,0.627,Rock
53,0.0541,0.651,269613,0.875,0.00984,0.0254,-4.349,0.0409,92.022,0.83,Rock
76,0.386,0.49,145747,0.715,0,0.311,-5.549,0.0476,130.726,0.866,Rock
53,0.0133,0.229,215653,0.871,2.18E-06,0.266,-4.558,0.103,86.965,0.395,Rock
53,0.222,0.474,352907,0.382,0.0195,0.149,-13.291,0.0252,80.8,0.69,Rock
29,0.916,0.23,664600,0.0408,0.222,0.0855,-23.741,0.0459,120.4064967,0.105,Classical
39,0.00351,0.534,287033,0.653,0.0205,0.254,-7.358,0.0314,155.693,0.434,Blues
37,0.0106,0.204,137350,0.104,0.828,0.136,-21.608,0.046,68.323,0.0323,Classical
40,0.702,0.674,246693,0.528,1.63E-05,0.0799,-6.939,0.045,88.105,0.955,Jazz
